page_number,cleaned_text,sentence_count,entity_count
64,"parasitic infections especially South American trypanosomiasis (Chagasdisease) in infants and immunosuppressed adults; also toxoplasmosis radiation therapy large doses of radiation to the chest in treating lung orbreast cancer viral infections (most common cause in the United States and Westem Europe) coxsackievirus A and B strains and, possibly, poliomyelitis,influenza, rubeola, rubella, and adenoviruses and echoviruses Myocarditis occurs in 1 to 10 of every 100,000 people in the United States. The median age for this disorder is 42, and incidence is equalbetween males and females. Children, especially neonates, and persons whoare immunocompromised or pregnant (especially pregnant black women) areat higher risk for developing this disorder.Pathophysiology The pathophysiology of myocarditis is still being researched, but it is usuallycaused by a virus, as already mentioned. It results in necrosis of myocardialcells either through direct injury or as a result of an autoimmune reaction ofan infectious or toxic process. The extent of the involvement depends on themagnitude of the insult; if it extends to the pericardium, myopericarditisoccurs.Complications Arrhythmias Thromboembolism Chronic valvulitis (when disease results from rheumatic fever) Recurrence of disease Left-sided heart failure (occasional)Cardiomyopathy (rare)Signs and symptoms Myocarditis usually causes nonspecific symptoms such as fatigue, dyspnea,palpitations, and fever that reflect the accompanying systemic infection.Occasionally, it may produce mild, continuous pressure or soreness in thechest (unlike the recurring, stress-related pain of angina pectoris). Althoughmyocarditis is usually self-limiting, it may induce myofibril degeneration thatresults in right- and left-sided heart failure, with cardiomegaly, JVD,",6,89
65,"dyspnea, persistent fever with resting or exertional tachycardiadisproportionate to the degree of fever, and supraventricular and ventriculararrhythmias. Sometimes myocarditis recurs or produces chronic valvulitis(when it results from rheumatic fever), cardiomyopathy, arrhythmias, andthromboembolism.Diagnosis Patient history commonly reveals recent febrile upper respiratory tractinfection, viral pharyngitis, or tonsillitis. Physical examination showssupraventricular and ventricular arrhythmias, S, and S, gallops, a faint S,,possibly a murmur of mitral insufficiency (from papillary muscledysfunction) and, if pericarditis is present, a pericardial friction rub.Laboratory tests can t unequivocally confirm myocarditis, but thefollowing findings support this diagnosis: cardiac enzymes: elevated CK, CK-MB, aspartate aminotransferase, andlactate dehydrogenase levels increased white blood cell count and erythrocyte sedimentation rate elevated antibody titers (such as antistreptolysin-O titer in rheumaticfever)CONFIRMING DIAGNOSIS Endomyocardial biopsy is rarely performed todiagnose myocarditis; the procedure is invasive and costly. A negativebiopsy doesn t exclude the diagnosis, and a repeat biopsy may be needed.ECG typically shows diffuse ST-segment and T-wave abnormalities as inpericarditis, conduction defects (prolonged PR _ interval), and othersupraventricular arrhythmias. Echocardiography demonstrates some degreeof left ventricular dysfunction, and radionuclide scanning may identifyinflammatory and necrotic changes characteristic of myocarditis.Stool and throat cultures may identify bacteria.Treatment While myositis is usually self-limiting, treatment may include antibiotics forbacterial infection, modified bed rest to decrease cardiac workload, andcareful management of complications. Inotropic support of cardiac functionwith amrinone, dopamine, or dobutamine may be needed. Heart failure",7,93
66,"requires restriction of activity to minimize myocardial oxygen consumption,supplemental oxygen therapy, sodium restriction, diuretics to decrease fluidretention, and cardiac glycosides to increase myocardial contractility.However, cardiac glycosides should be administered cautiously becausesome patients with myocarditis may show a paradoxical sensitivity to evensmall doses. Arrhythmias necessitate prompt but cautious administration ofantiarrhythmics because these drugs depress myocardial contractility.Thromboembolism requires anticoagulation therapy. Treatment withcorticosteroids or other immunosuppressants may be used to reduceinflammation, but they haven t been shown to change the progression ofmyocarditis. Nonsteroidal anti-inflammatory drugs are contraindicatedduring the acute phase (first 2 weeks) because they increase myocardialdamage.Surgical treatment may include left ventricular assistive devices andextracorporeal membrane oxygenation for support of cardiogenic shock.Cardiac transplantation has been beneficial for giant cell myocarditis.Special Considerations Assess cardiovascular status frequently, watching for signs of heartfailure, such as dyspnea, hypotension, and tachycardia. Check for changesin cardiac rhythm or conduction. Observe for signs of digoxin toxicity (anorexia, nausea, vomiting, blurredvision, and cardiac arrhythmias) and for complicating factors that maypotentiate toxicity, such as electrolyte imbalance or hypoxia. Stress the importance of bed rest. Assist with bathing, as necessary;provide a bedside commode because this stresses the heart less than usinga bedpan. Reassure the patient that activity limitations are temporary.Offer diversional activities that are physically undemanding.During recovery, recommend that the patient resume normal activitiesslowly and avoid competitive sports. PREVENTION Instruct patient to obtain prompt treatment of causative disorders. Instruct patient to practice good hygiene, including thoroughhandwashing.",11,90
67,"Tell patient to thoroughly wash and cook food.ENDOCARDITISCauses and Incidence Endocarditis (also known as infective or bacterial endocarditis) is aninfection of the endocardium, heart valves, or cardiac prostheses resultingfrom bacterial or fungal invasion. Most cases of endocarditis occur in LV.drug abusers, patients with prosthetic heart valves, and those with MVP(especially males with a systolic murmur). These conditions have surpassedrheumatic heart disease as the leading risk factor. Other predisposingconditions include coarctation of the aorta, tetralogy of Fallot, subaortic andvalvular aortic stenosis, VSDs, PS, Marfan syndrome, degenerative heartdisease (especially calcific aortic stenosis), and, rarely, syphilitic aorticvalve. However, some patients with endocarditis have no underlying heartdisease. In the United States, endocarditis affects 2 to 6 people out of every100,000. Males are twice as likely as females to acquire this infection, andthe mean age of onset is 50. Mortality is associated with increased age,infection of the aortic valve, heart failure and underlying heart disease, andcentral nervous system complications; mortality rates vary with the infectingorganism. Untreated endocarditis is usually fatal, but with proper treatment,70 of patients recover. The prognosis is worst when endocarditis causessevere valvular damage, leading to insufficiency and heart failure, or when itinvolves a prosthetic valve.Pathophysiology The invasion of bacteria or fungi produces vegetative growths on the heartvalves, endocardial lining of a heart chamber, or endothelium of a bloodvessel that may embolize to the spleen, kidneys, central nervous system, andlungs. In endocarditis, fibrin and platelets aggregate on the valve tissue andengulf circulating bacteria or fungi that flourish and produce friableverrucous vegetations. (See Degenerative changes in endocarditis.) Suchvegetations may cover the valve surfaces, causing ulceration and necrosis;they may also extend to the chordae tendineae, leading to their rupture andsubsequent valvular insufficiency.",13,102
68,"Degenerative Changes in Endocarditis This illustration shows typical vegetations on the endocardium producedby fibrin and platelet deposits on infection sites. Infecting organisms differ depending on the cause of endocarditis. Inpatients with native valve endocarditis who aren t I.V. drug abusers,causative organisms usually include in the order of frequency streptococci (especially Streptococcus viridans), staphylococci, orenterococci. Although many other bacteria occasionally cause the disorder,fungal causes are rare in this group. The mitral valve is involved mostcommonly, followed by the aortic valve.In patients who are I.V. drug abusers, Staphylococcus aureus is the mostcommon infecting organism. Less commonly, streptococci, enterococci,gram-negative bacilli, or fungi cause the disorder. The tricuspid valve isinvolved most commonly, followed by the aortic and then the mitral valve.",9,41
69,"In patients with prosthetic valve endocarditis, early cases (those thatdevelop within 60 days of valve insertion) are usually due to staphylococcalinfection. However, gram-negative aerobic organisms, fungi, streptococci,enterococci, or diphtheroids may also cause the disorder. The course isusually fulminant and is associated with a high mortality. Late cases(occurring after 60 days) present similar to native valve endocarditis.Complications Left-sided heart failure Valvular stenosis or insufficiency Myocardial erosion Signs and Symptoms Early clinical features of endocarditis are usually nonspecific and includemalaise, weakness, fatigue, weight loss, anorexia, arthralgia, night sweats,chills, valvular insufficiency and, in 90 of patients, an intermittent feverthat may recur for weeks. A more acute onset is associated with organisms ofhigh pathogenicity such as S. aureus. Endocarditis commonly causes a loud,regurgitant murmur typical of the underlying heart lesion. A suddenlychanging murmur or the discovery of a new murmur in the presence of feveris a classic physical sign of endocarditis.In about 30 of patients, embolization from vegetating lesions or diseasedvalvular tissue may produce typical features of splenic, renal, cerebral, orpulmonary infarction or of peripheral vascular occlusion: splenic infarction pain in the left upper quadrant, radiating to the leftshoulder, and abdominal rigidity renal infarction hematuria, pyuria, flank pain, and decreased urineoutput cerebral infarction hemiparesis, aphasia, or other neurologic deficits pulmonary infarction (most common in right-sided endocarditis, whichcommonly occurs among I. V. drug abusers and after cardiac surgery) cough, pleuritic pain, pleural friction rub, dyspnea, and hemoptysis peripheral vascular occlusion numbness and tingling in an arm, leg,finger, or toe, or signs of impending peripheral gangrene Other signs may include splenomegaly; petechiae of the skin (especiallycommon on the upper anterior trunk) and the buccal, pharyngeal, or",7,104
70,"conjunctival mucosa; and splinter hemorrhages under the nails. Rarely,endocarditis produces Osler nodes (tender, raised, subcutaneous lesions onthe fingers or toes), Roth spots (hemorrhagic areas with white centers on theretina), and Janeway lesions (purplish macules on the palms or soles).Diagnosis CONFIRMING DIAGNOSIS Three or more blood cultures in a 24- to 48-hour period (each from a separate venipuncture) identify the causativeorganism in up to 90 of patients. Blood cultures should be drawn fromthree different sites with I hour between each draw.The remaining 10 may have negative blood cultures, possibly suggestingfungal infection or infections that are difficult to diagnose, such as Haemophilus parainfluenzae.Other abnormal but nonspecific laboratory test results include: normal or elevated white blood cell count abnormal histiocytes (macrophages) elevated erythrocyte sedimentation rate normocytic, normochromic anemia (in 70 to 90 of patients) proteinuria and microscopic hematuria (in about 50 of patients) positive serum rheumatoid factor (in about 50 of patients afterendocarditis is present for 3 to 6 weeks)Echocardiography (particularly, transesophageal) may identify valvulardamage; ECG may show atrial fibrillation and other arrhythmias thataccompany valvular disease.Treatment The goal of treatment is to eradicate the infecting organism with appropriateantimicrobial therapy, which should start promptly and continue over 4 to 6weeks. Selection of an antibiotic is based on identification of the infectingorganism and on sensitivity studies. While awaiting results, or if bloodcultures are negative, empiric antimicrobial therapy is based on the likelyinfecting organism.Supportive treatment includes bed rest, aspirin for fever and aches, andsufficient fluid intake. Severe valvular damage, especially aortic or mitral",6,87
71,"insufficiency, may require corrective surgery if refractory heart failuredevelops, or in cases requiring that an infected prosthetic valve be replaced.Special considerations Before giving antibiotics, obtain a patient history of allergies. Administerantibiotics on time to maintain consistent antibiotic blood levels. Observe for signs of infiltration or inflammation at the venipuncture site,possible complications of long-term IV. drug administration. To reducethe risk of these complications, rotate venous access sites. Watch for signs of embolization (hematuria, pleuritic chest pain, left upperquadrant pain, or paresis), a common occurrence during the first 3 monthsof treatment. Tell the patient to watch for and report these signs, whichmay indicate impending peripheral vascular occlusion or splenic, renal,cerebral, or pulmonary infarction.Monitor the patient s renal status (blood urea nitrogen BUN levels,creatinine clearance, and urine output) to check for signs of renal embolior evidence of drug toxicity.Observe for signs of heart failure, such as dyspnea, tachypnea,tachycardia, crackles, JVD, edema, and weight gain.Provide reassurance by teaching the patient and family about this diseaseand the need for prolonged treatment. Tell them to watch closely for fever,anorexia, and other signs of relapse about 2 weeks after treatment stops.Suggest quiet diversionary activities to prevent excessive physicalexertion.Make sure susceptible patients understand the need for prophylacticantibiotics before, during, and after dental work, childbirth, andgenitourinary, GI, or gynecologic procedures.Teach patients how to recognize symptoms of endocarditis and tell them tonotify the practitioner at once if such symptoms occur. (See Preventingendocarditis.)PREVENTIONPREVENTING ENDOCARDITISAny patient who is at risk for or susceptible to endocarditis, such asthose with artificial heart valves or other predisposing factors, should",10,99
72,"have prophylactic antibiotics before dental or other invasiveprocedures.In addition, the patient should practice good hygiene, includingthoroughly washing hands and washing fruits and vegetables andthoroughly cooking all food to prevent introducing organisms into thesystem. Maintaining good oral health by daily brushing and flossingand having regular dental checkups can also prevent infection. Be sureto advise the patient to notify the family practitioner as well as thedentist or another specialist that they have a condition that places themat high risk for endocarditis.PERICARDITISCauses and Incidence Pericarditis is an inflammation of the pericardium, the fibroserous sac thatenvelops, supports, and protects the heart. Common causes of this diseaseinclude: bacterial, fungal, or viral infection (infectious pericarditis) neoplasms (primary or metastatic from lungs, breasts, or other organs) high-dose radiation to the chest uremia hypersensitivity or autoimmune disease, such as acute rheumatic fever(most common cause of pericarditis in children), systemic lupuserythematosus (SLE), and rheumatoid arthritis postcardiac injury such as MI, which later causes an autoimmune reaction(Dressler syndrome) in the pericardium; trauma; or surgery that leaves thepericardium intact but causes blood to leak into the pericardial cavity drugs, such as hydralazine or procainamide idiopathic factors (most common in acute pericarditis)Less common causes include aortic aneurysm with pericardial leakage andmyxedema with cholesterol deposits in the pericardium.Pericarditis most commonly affects men 20 to 50 years old, but it can alsooccur in children after infection with an adenovirus or coxsackievirus.The prognosis depends on the underlying cause but is generally good inacute pericarditis, unless constriction occurs.",4,81
73,"Pathophysiology The pericardium protects the heart mechanically and reduces friction of thesurrounding structures through a small amount of pericardial fluid (25 to 50m L). Inflammation of the layers of the pericardium leads to an increase in theproduction of this fluid in the form of exudate. Pericarditis occurs in bothacute and chronic forms. Acute pericarditis can be fibrinous or effusive, withpurulent serous or hemorrhagic exudate; chronic constrictive pericarditis ischaracterized by dense fibrous pericardial thickening.Complications Pericardial effusion Cardiac tamponade Shock Cardiovascular collapse Death Signs and symptoms Acute pericarditis typically produces a sharp and often sudden pain thatusually starts over the stemum and radiates to the neck, shoulders, back, andarms. However, unlike the pain of MI, pericardial pain is often pleuritic,increasing with deep inspiration and decreasing when the patient sits up andleans forward, pulling the heart away from the diaphragmatic pleurae of thelungs.Pericardial effusion, the major complication of acute pericarditis, mayproduce effects of heart failure (such as dyspnea, orthopnea, andtachycardia), ill-defined substemal chest pain, and a feeling of fullness in thechest. (See Pattems of cardiac pain.)Pattems of cardiac pain Although pain perception is individualistic, specific characteristics areassociated with different types of cardiac pain, as shown below.Pericarditis Angina Myocardial infarction",7,74
74,"Pericarditis Angina Myocardial infarction Onset and duration Onset and duration Sudden onset; continuous pain Gradual or suddenlasting for days; residual onset; pain usuallysoreness lasts 15 minutes Location and radiation and not 30 minutes Substemal pain to left of (average: 3 minutes)midline; radiation to back orsubclavicular area Quality and intensity Mild ache to severe pain, deepor superficial; stabbing, knifelike Signs and symptoms Precordial friction rub; . . .increased pain with movement, uality and intensityinspiration, laughing, coughing; Mild-to-moderatedecreased pain with sitting or pressure; deepleaning forward (sitting up pulls Sensation; variedheart away from diaphragm) pattem of attacks; Substemal or anterior chest pain,not sharply localized;radiation to back,neck, arms, jaws,or fingers .Si Precipitating factors ea Myocardial infarction or upper crushing respiratory tract infection; pressure invasive cardiac trauma .Signs and symptoms Dyspnea,Onset and duration Sudden onset; pain lasts30 minutes to 2 hours;waxes and wanes;residual soreness 1 to 3days Location and radiation Location and radiation Substemal, midline, oranterior chest pain;radiation to jaws, neck,back, shoulders, or one orboth armseven upper abdomen Quality and intensity Persistent, severepressure; deep sensation; crushing, squeezing, heavy, oppressive gns and symptoms Nausea, vomiting,apprehension, dyspnea,diaphoresis, increased ordecreased bloodpressure; gallop heartsound, sensation ofimpending doom diaphoresis, nausea, Precipitating factorsdesire to void,belching,apprehension Precipitating factors Exertion, stress,eating, cold or hotand humid weather Occurrence at rest orduring physical exertion oremotional stress Vv ALERT If the fluid accumulates rapidly, cardiac tamponade may occur,resulting in pallor, clammy skin, hypotension, pulsus paradoxus (adecrease in systolic blood pressure of 15 mm Hg or more during slowinspiration), JVD and, eventually, cardiovascular collapse and death.Chronic constrictive pericarditis causes a gradual increase in systemicvenous pressure and produces symptoms similar to those of chronic right-sided heart failure (fluid retention, ascites, and hepatomegaly).",3,129
75,"Diagnosis Because pericarditis commonly coexists with other conditions, the diagnosisof acute pericarditis depends on typical clinical features and elimination ofother possible causes. The pericardial friction rub, a classic symptom, is agrating sound heard as the heart moves. It can usually be auscultated bestduring forced expiration, while the patient leans forward or is on hands andknees in bed. It may have up to three components, corresponding to the timingof atrial systole, ventricular systole, and the rapid-filling phase of ventriculardiastole. Occasionally, this friction rub is heard only briefly or not at all.Nevertheless, its presence, together with other characteristic features, isdiagnostic of acute pericarditis. In addition, if acute pericarditis has causedvery large pericardial effusions, physical examination reveals increasedcardiac dullness and diminished or absent apical impulse and distant heartsounds.Chest X-ray, echocardiogram, chest MRI, heart MRI, heart computedtomography scan, and radionuclide scanning can detect fluid that hasaccumulated in the pericardial sac. They may also show enlargement of theheart and signs of inflammation or scarring, depending on the cause ofpericarditis.In patients with chronic pericarditis, acute inflammation or effusions don toccur only restricted cardiac filling.Laboratory results reflect inflammation and may identify its cause: normal or elevated white blood cell count, especially in infectiouspericarditis elevated erythrocyte sedimentation rate slightly elevated cardiac enzyme levels with associated myocarditis culture of pericardial fluid obtained by open surgical drainage orcardiocentesis (sometimes identifies a causative organism in bacterial orfungal pericarditis)ECG showing the following changes in acute pericarditis: elevation of STsegments in the standard limb leads and most precordial leads without thesignificant changes in QRS morphology that occur with MI, atrial ectopicrhythms such as atrial fibrillation and, in pericardial effusion, diminished QRS voltage Other pertinent laboratory data include BUN levels to check for uremia,antistreptolysin-O titers to detect rheumatic fever, and a purified protein",7,102
76,"derivative skin test to check for tuberculosis. In pericardial effusion,echocardiography is diagnostic when it shows an echo-free space betweenthe ventricular wall and the pericardium.Treatment The goal of treatment is to relieve symptoms and manage the underlyingsystemic disease. In acute idiopathic pericarditis and postthoracotomypericarditis, treatment consists of bed rest as long as fever and pain persist,and nonsteroidal drugs, such as aspirin and indomethacin, to relieve pain andreduce inflammation. Post-MI patients should avoid nonsteroidal anti-inflammatory drugs and steroids because they may interfere with myocardialscar formation. If these drugs fail to relieve symptoms, corticosteroids maybe used. Although corticosteroids produce rapid and effective relief, theymust be used cautiously because episodes may recur when therapy isdiscontinued.Infectious pericarditis that results from disease of the left pleural space,mediastinal abscesses, or septicemia requires antibiotics (possibly by directpericardial injection), surgical drainage, or both. Cardiac tamponade mayrequire pericardiocentesis. Signs of tamponade include pulsus paradoxus,JVD, dyspnea, and shock.Recurrent pericarditis may necessitate partial pericardectomy, whichcreates a window that allows fluid to drain into the pleural space. Inconstrictive pericarditis, total pericardectomy to permit adequate filling andcontraction of the heart may be necessary. Treatment must also includemanagement of rheumatic fever, uremia, tuberculosis, and other underlyingdisorders.Special considerations A patient with pericarditis needs complete bed rest. In addition, healthcareincludes: assessing pain in relation to respiration and body position to distinguishpericardial pain from myocardial ischemic pain placing the patient in an upright position to relieve dyspnea and chestpain; providing analgesics and oxygen; and reassuring the patient withacute pericarditis that the condition is temporary and treatable",11,98
77,"monitoring for signs of cardiac compression or cardiac tamponade,possible complications of pericardial effusion (Signs include decreasedblood pressure, increased CVP, and pulsus paradoxus. Because cardiactamponade requires immediate treatment, keep a pericardiocentesis sethandy whenever pericardial effusion is suspected.) explaining tests and treatments to the patient (If surgery is necessary, thepatient should leam deep breathing and coughing exercises beforehand.Postoperative care is similar to that given after cardiothoracic surgery.)RHEUMATIC FEVER AND RHEUMATIC HEART DISEASECauses and Incidence Acute rheumatic fever is a systemic inflammatory disease of childhood, inmany cases recurrent, that follows a group A beta-hemolytic streptococcalinfection. Rheumatic heart disease refers to the cardiac manifestations ofrheumatic fever and includes pancarditis (myocarditis, pericarditis, andendocarditis) during the early acute phase and chronic valvular disease later.Although rheumatic fever tends to be familial, this may merely reflectcontributing environmental factors. For example, in lower socioeconomicgroups, incidence is highest in children between 5 and 15 years old,probably as a result of malnutrition and crowded living conditions. Thisdisease strikes generally during cool, damp weather in the winter and earlyspring. In the United States, it s most common in the northem states. Long-term antibiotic therapy can minimize the recurrence of rheumatic fever,reducing the risk of permanent cardiac damage and eventual valvulardeformity. However, severe pancarditis occasionally produces fatal heartfailure during the acute phase. Of the patients who survive this complication,about 20 die within 10 years.Pathophysiology Rheumatic fever appears to be a hypersensitivity reaction to a group A beta-hemolytic streptococcal infection, in which antibodies manufactured tocombat streptococci react and produce characteristic lesions at specifictissue sites, especially in the heart and joints. Because very few persons(0.3 ) with streptococcal infections ever contract rheumatic fever, alteredhost resistance must be involved in its development or recurrence.",12,102
78,"Complications Destruction of mitral and aortic valves Severe pancarditis Pericardial effusion Fatal heart failure Signs and symptoms In 95 of patients, rheumatic fever characteristically follows a streptococcalinfection that appeared a few days to 6 weeks earlier. A temperature of atleast 100.4 F (38 C) occurs, and most patients complain of migratory jointpain or polyarthritis. Swelling, redness, and signs of effusion usuallyaccompany such pain, which most commonly affects the knees, ankles,elbows, or hips. In 5 of patients (generally those with carditis), rheumaticfever causes skin lesions such as erythema marginatum, a nonpruritic,macular, transient rash that gives rise to red lesions with blanched centers.Rheumatic fever may also produce firm, movable, nontender, subcutaneousnodules about 3 mm to 2 cm in diameter, usually near tendons or bonyprominences of joints (especially the elbows, knuckles, wrists, and knees)and less often on the scalp and backs of the hands. These nodules persist fora few days to several weeks and, like erythema marginatum, often accompanycarditis.Later, rheumatic fever may cause transient chorea, which develops up to 6months after the original streptococcal infection. Mild chorea may producehyperirritability, a deterioration in handwriting, or an inability toconcentrate. Severe chorea (Sydenham chorea) causes purposeless,nonrepetitive, involuntary muscle spasms; poor muscle coordination; andweakness. Chorea always resolves without residual neurologic damage.The most destructive effect of rheumatic fever is carditis, which developsin up to 50 of patients and may affect the endocardium, myocardium,pericardium, or the heart valves. Pericarditis causes a pericardial frictionrub and, occasionally, pain and effusion. Myocarditis produces characteristiclesions called Aschoff bodies (in the acute stages) and cellular swelling andfragmentation of interstitial collagen, leading to the formation of aprogressively fibrotic nodule and interstitial scars. Endocarditis causesvalve leaflet swelling; erosion along the lines of leaflet closure; and blood,platelet, and fibrin deposits, which form beadlike vegetations. Endocarditis",12,114
79,"affects the mitral valve most often in females and the aortic valve most oftenin males. In both females and males, endocarditis affects the tricuspid valvesoccasionally and the pulmonic valve only rarely.Severe rheumatic carditis may cause heart failure with dyspnea; rightupper quadrant pain; tachycardia; tachypnea; a hacking, nonproductive cough;edema; and significant mitral and aortic murmurs. The most common of suchmurmurs include: a systolic murmur of mitral insufficiency (high-pitched, blowing,holosystolic, loudest at apex, possibly radiating to the anterior axillaryline) a midsystolic murmur due to stiffening and swelling of the mitral leaflet occasionally, a diastolic murmur of aortic insufficiency (low-pitched,rumbling, almost inaudible). Valvular disease may eventually result inchronic valvular stenosis and insufficiency, including mitral stenosis andinsufficiency, and aortic insufficiency. In children, mitral insufficiencyremains the major sequela of rheumatic heart disease.Diagnosis Diagnosis depends on recognition of one or more of the classic symptoms(carditis, rheumatic fever without carditis, polyarthritis, chorea, erythemamarginatum, or subcutaneous nodules) and a detailed patient history.Laboratory data support the diagnosis: White blood cell count and erythrocyte sedimentation rate may beelevated (during the acute phase); blood studies show slight anemia due tosuppressed erythropoiesis during inflammation. C-reactive protein is positive (especially during the acute phase).Cardiac enzyme levels may be increased in severe carditis. Antistreptolysin-O titer is elevated in 95 of patients within 2 months ofonset. Electrocardiogram changes aren t diagnostic, but PR interval is prolongedin 20 of patients.Chest X-rays show normal heart size (except with myocarditis, heartfailure, or pericardial effusion). Echocardiography helps evaluate valvular damage, chamber size, andventricular function.",9,104
80,"Cardiac catheterization evaluates valvular damage and left ventricularfunction in severe cardiac dysfunction.Treatment Effective management eradicates the streptococcal infection, relievessymptoms, and prevents recurrence, reducing the chance of permanentcardiac damage. During the acute phase, treatment includes penicillin,sulfadiazine, or erythromycin. Salicylates such as aspirin relieve fever andminimize joint swelling and pain; if carditis is present or salicylates fail torelieve pain and inflammation, corticosteroids may be used. Supportivetreatment requires strict bed rest for about 5 weeks during the acute phasewith active carditis, followed by a progressive increase in physical activity,depending on clinical and laboratory findings and the response to treatment.After the acute phase subsides, low-dose antibiotics may be used toprevent recurrence. Such preventive treatment usually continues for 5 yearsor until age 21 (whichever is longer). Heart failure necessitates continuedbed rest and diuretics. Severe mitral or aortic valve dysfunction that causespersistent heart failure requires corrective valvular surgery, includingcommissurotomy (separation of the adherent, thickened leaflets of the mitralvalve), valvuloplasty (inflation of a balloon within a valve), or valvereplacement (with prosthetic valve). Such surgery is seldom necessarybefore late adolescence.Special Considerations Because rheumatic fever and rheumatic heart disease require prolongedtreatment, the care plan should include comprehensive patient teaching topromote compliance with the prescribed therapy. Before giving penicillin, ask the patient or parents if the patient has everhad a hypersensitivity reaction to it. If not, wam that such a reaction ispossible. Tell them to stop the drug and call the practitioner immediatelyif the patient develops a rash, fever, chills, or other signs of allergy at anytime during penicillin therapy. Instruct the patient and family to watch for and report early signs of heartfailure, such as dyspnea and a hacking, nonproductive cough. Stress the need for bed rest during the acute phase, and suggestappropriate, physically undemanding diversions. After the acute phase,",14,118
81,"encourage family and friends to spend as much time as possible with thepatient to minimize boredom. Advise parents to secure tutorial services tohelp the child keep up with schoolwork during the long convalescence.Help the child s parents overcome any guilt feelings they may have aboutthe illness. Tell them that failure to seek treatment for streptococcalinfection is common because this illness often seems no worse than acold. Encourage the child and his or her parents to vent their frustrationsduring the long, tedious recovery. If the child has severe carditis, helpthem prepare for permanent changes in lifestyle.Teach the patient and his or her family about this disease and its treatment.Wam parents to watch for and immediately report signs of recurrentstreptococcal infection sudden sore throat, diffuse throat redness andoropharyngeal exudate, swollen and tender cervical lymph glands, pain onswallowing, temperature of 101 to 104 F (38.3 to 40 C), headache,and nausea. Urge them to keep the child away from people withrespiratory tract infections.Promote good dental hygiene to prevent gingival infection. Make sure thepatient and his or her family understand the need to comply withprolonged antibiotic therapy and follow-up care and the need foradditional antibiotics during dental surgery or procedures. Arrange for ahome health nurse to oversee home care if necessary.Teach the patient to follow current recommendations of the American Heart Association for prevention of bacterial endocarditis. Antibioticregimens used to prevent recurrence of acute rheumatic fever areinadequate for preventing bacterial endocarditis. Valve Disorders VALVULAR HEART DISEASECauses and Incidence More than 5 million people in the United States are diagnosed with someform of valvular disease each year. The mitral and aortic valves are mostcommonly affected. Common causes of each type can be found in Types ofvalvular heart disease.",12,92
82,"Types of valvular heart disease Causes and incidence Signs and Diagnostic measuressymptoms Aortic insufficiency Results from Dyspnea, Cardiac catheterization: reduction inrheumatic fever, cough, fatigue, arterial diastolic pressures, aorticsyphilis, hypertension, palpitations, insufficiency, other valvularendocarditis, or may angina, syncope abnormalities, and increased leftbe idiopathic Pulmonary ventricular end-diastolic pressure Associated with venous Xray: left ventricular enlargement,Marfan syndrome congestion, pulmonary vein congestion Most common in heart failure, Echocardiography: left ventricularmales pulmonary enlargement, alterations in mitral valve Associated with edema (left- movement (indirect indication of aorticventricular septal sided heart valve disease), and mitral thickeningdefect, even after failure), Electrocardiography (ECG): sinussurgical closure pulsating nail tachycardia, left ventricular hypertrophy,beds and left atrial hypertrophy in severe Rapidly rising diseaseand collapsingpulses (pulsusbisferiens),cardiacarrhythmias,wide pulsepressure insevereinsufficiency Auscultation:reveals third heart sound anddiastolic blowingmurmur at leftstemal border Palpation andvisualization ofapical impulse inchronic disease Aortic stenosis",1,58
83,"malesheart failure,pulmonaryedema Diminishedcarotid pulses,decreasedcardiac output,cardiacarrhythmias;may havepulsus altemans Auscultation:reveals systolicmurmur at baseor in carotidsand, possibly, S,Causes and incidence Signs and Diagnostic measuressymptoms Results from Dyspnea on Cardiac catheterization: pressurecongenital aortic exertion, gradient across valve (indicatingbicuspid valve paroxysmal obstruction), increased left ventricular(associated with noctumal end-diastolic pressurescoarctation of the dyspnea, Xray: valvular calcification, leftaorta), congenital fatigue, ventricular enlargement, and pulmonarystenosis of valve syncope, venous congestioncusps, rheumatic angina, Echocardiography: thickened aorticfever, or palpitations valve and left ventricular wallatherosclerosis in Pulmonary ECG: left ventricular hypertrophyelderly persons venous Most common in congestion, Mitral insufficiency",1,44
84,"Causes and incidence Signs and Diagnostic measuressymptoms Results from Orthopnea, Cardiac catheterization: mitralrheumatic fever, dyspnea, insufficiency with increased lefthypertrophic fatigue, angina, ventricular end-diastolic volume andcardiomyopathy, palpitations pressure, increased atrial pressure andmitral valve prolapse, myocardial infarction,severe left-sidedheart failure, orruptured chordaetendineae Associated with othercongenital anomalies such as transpositionof the great arteries Rare in childrenwithout other congenital anomalies Peripheraledema, jugularvein distention(JVD),hepatomegaly(right-sidedheart failure)Tachycardia,crackles,pulmonaryedema Auscultation:revealsholosystolicmurmur at apex,possible split S.,and S3pulmonary artery wedge pressure(PAWP); and decreased cardiac output X-ray: left atrial and ventricularenlargement, pulmonary venouscongestion Echocardiography: abnormal valveleaflet motion, left atrial enlargement ECG: left atrial and ventricularhypertrophy, sinus tachycardia, andatrial fibrillation Mitral stenosis",1,47
